"","country","year","gdp"
"1","France",1990,1.9e+12
"2","France",1991,1.92e+12
"3","France",1992,1.95e+12
"4","France",1993,1.94e+12
"5","France",1994,1.99e+12
"6","France",1995,2.03e+12
"7","France",1996,2.06e+12
"8","France",1997,2.11e+12
"9","France",1998,2.18e+12
"10","France",1999,2.26e+12
"11","France",2000,2.34e+12
"12","France",2001,2.39e+12
"13","France",2002,2.42e+12
"14","France",2003,2.44e+12
"15","France",2004,2.5e+12
"16","France",2005,2.54e+12
"17","France",2006,2.6e+12
"18","France",2007,2.67e+12
"19","France",2008,2.67e+12
"20","France",2009,2.59e+12
"21","France",2010,2.64e+12
"22","France",2011,2.7e+12
"23","France",2012,2.7e+12
"24","France",2013,2.72e+12
"25","France",2014,2.74e+12
"26","France",2015,2.77e+12
"27","France",2016,2.81e+12
"28","France",2017,2.86e+12
