date,country,variable,value
2010,australia,GDP,1142250506
2011,australia,GDP,1389919156
2012,australia,GDP,1537477830
2013,australia,GDP,1563950959
2014,australia,GDP,1454675480
2015,australia,GDP,1339539063
2010,belgium,GDP,483577483
2011,belgium,GDP,526975257
2012,belgium,GDP,497815990
2013,belgium,GDP,521370528
2014,belgium,GDP,531234804
2015,belgium,GDP,454039037
2010,canada,GDP,1613406135
2011,canada,GDP,1788703386
2012,canada,GDP,1824288757
2013,canada,GDP,1837443487
2014,canada,GDP,1783775591
2015,canada,GDP,1550536520
